created_at;id;author_id;text;referenced_tweets;retweet_count;reply_count;like_count;quote_count;hashtags;mentions;urls;cashtags;url;verified;description;username;name;author_created_at;followers_count;following_count;tweet_count;listed_count;Influerende;Berettende;Hverken_eller;Duplikat;Har_link
Jun 22, 2019;1,14253E+18;339061487;@TungstenNuts There are lots of things that happen in crypto each week. Everyone knows I prioritize Bitcoin info, so I’m actually surprised no one has done a weekly update for Ripple or XRP yet;[{'type': 'replied_to', 'id': '1142531950634160128'}];0;0;0;0;[];['TungstenNuts'];[];[];https://t.co/4v9mZXQUbX;TRUE;Building Pomp Investments. Have invested $200M+ in early stage companies, including multiple unicorns. Write a daily letter to 195k investors: https://t.co/tpCu2xhIBx;APompliano;Pomp ??;2011-07-20T14:43:36.000Z;1160675;6158;59344;11597;0;1;0;0;0
Nov 15, 2018;1,06297E+18;9,02839E+17;Bear market for crypto. #BTC #ETH #XRP BULL market for #TRON. #TRX $TRX https://t.co/yFOGJlQPic;;387;90;838;20;['BTC', 'ETH', 'XRP', 'TRON', 'TRX'];[];[None, None];[None];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;1;0;0;0;1
May 13, 2018;9,95694E+17;9,02839E+17;#TRON is honored to be the first trading pair with #XRP on @Zebpay. Meanwhile, India is also one of mainstream countries investing #TRX. So we also look forward to seeing more Indian exchanges support #TRON token migration! https://t.co/sP19lknY4Z;;775;91;2189;42;['TRON', 'XRP', 'TRX', 'TRON'];['zebpay'];[None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;1;1;0;0;1
