created_at;id;author_id;text;referenced_tweets;retweet_count;reply_count;like_count;quote_count;hashtags;mentions;urls;cashtags;url;verified;description;username;name;author_created_at;followers_count;following_count;tweet_count;listed_count;Influerende;Berettende;Hverken_eller;Duplikat;Har_link
Aug 11, 2021;1,42547E+18;9,36286E+17;Last two step down transformers for our @nvidia GPU miners have arrived!???? $HUT #BTC #Ethereum https://t.co/fOWJWRmb78;;50;14;343;4;['BTC', 'Ethereum'];['nvidia'];[None, None];[None];https://t.co/UOffYhsC83;TRUE;"(NASDAQ: HUT, TSX: HUT) Crypto Mining, Hosting & HODL| Supporting Decentralized Systems since 2018 |Highest Self-Mined #BTC in World;4724| @BTCMiningCoun |";Hut8Mining;Hut 8 Mining;2017-11-30T17:30:11.000Z;22599;264;943;224;0;1;0;0;1
Aug 05, 2021;1,42335E+18;24222556;"#Ethereum $ETH is burning!

#EIP1559";;466;247;4768;15;['Ethereum', 'EIP1559'];[];[];[None];https://t.co/WWUfsWBW3I;TRUE;#bitcoin;tyler;Tyler Winklevoss;2009-03-13T18:31:13.000Z;867967;2569;11229;6959;1;0;0;0;0
Jul 29, 2021;1,42074E+18;9,02839E+17;I’m happy to announce I’ll be joining @virtue_poker Charity Celebrity Event  alongside HOF poker player @philivey, @binance founder @cz_binance, Ethereum Co-Founder @ethereumJoseph, NBA HOF @paulpierce34, @Mrbeast, and more. https://t.co/JHvko4p2gT;;1255;229;2643;25;[];['Virtue_Poker', 'philivey', 'binance', 'cz_binance', 'ethereumJoseph', 'paulpierce34', 'MrBeast'];[None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;1;0;0;1
Jul 23, 2021;1,41847E+18;9,02839E+17;#TRX and #ETH , which one do you prefer? ??;;1376;2383;6116;98;['TRX', 'ETH'];[];[];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;1;0;0;0;0
Jul 09, 2021;1,4134E+18;44196397;"@MattWallace888 BTC &amp; ETH are pursuing a multilayer transaction system, but base layer transaction rate is slow &amp; transaction cost is high.

There is merit imo to Doge maximizing base layer transaction rate &amp; minimizing transaction cost with exchanges acting as the de facto secondary layer.";[{'type': 'replied_to', 'id': '1413355442475085825'}];6620;6882;27154;1516;[];['MattWallace888'];[];[];;TRUE;;elonmusk;Elon Musk;2009-06-02T20:12:29.000Z;60450502;105;15590;78006;1;1;0;0;0
Jun 28, 2021;1,40955E+18;9,36286E+17;Our Head of Investor Relations @bigsuey was recently interviewed by @paulbarron! Listen to learn all about what sets Hut 8 apart as a digital asset miner and our core values as a company: https://t.co/UsGs7oNSVk #btc #eth #esg;;12;2;102;1;['btc', 'eth', 'esg'];['bigsuey', 'paulbarron'];[None];[];https://t.co/UOffYhsC83;TRUE;"(NASDAQ: HUT, TSX: HUT) Crypto Mining, Hosting & HODL| Supporting Decentralized Systems since 2018 |Highest Self-Mined #BTC in World;4724| @BTCMiningCoun |";Hut8Mining;Hut 8 Mining;2017-11-30T17:30:11.000Z;22599;264;943;224;0;1;0;0;1
Jun 17, 2021;1,40555E+18;9,36286E+17;"Snapshot of our current fleet that will undergo expansion. Hut 8 uses the most conservative depreciation schedule for equipment??2 years. Fully depreciated = profitability &amp; mining in the money  #btc #eth ?? https://t.co/wM3e9iaPkn";;24;32;191;2;['btc', 'eth'];[];[None];[];https://t.co/UOffYhsC83;TRUE;"(NASDAQ: HUT, TSX: HUT) Crypto Mining, Hosting & HODL| Supporting Decentralized Systems since 2018 |Highest Self-Mined #BTC in World;4724| @BTCMiningCoun |";Hut8Mining;Hut 8 Mining;2017-11-30T17:30:11.000Z;22599;264;943;224;0;1;0;0;1
Jun 15, 2021;1,40479E+18;9,36286E+17;It's a sweet day to be listing on the @Nasdaq ?? Ticker: HUT @JaimeLeverton @Hut8Mining #btc #eth #ESG ?????? https://t.co/1T9xEwpkxp;;129;95;866;24;['btc', 'eth', 'ESG'];['Nasdaq', 'JaimeLeverton', 'Hut8Mining'];[None];[];https://t.co/UOffYhsC83;TRUE;"(NASDAQ: HUT, TSX: HUT) Crypto Mining, Hosting & HODL| Supporting Decentralized Systems since 2018 |Highest Self-Mined #BTC in World;4724| @BTCMiningCoun |";Hut8Mining;Hut 8 Mining;2017-11-30T17:30:11.000Z;22599;264;943;224;0;1;0;0;1
Jun 14, 2021;1,40441E+18;9,36286E+17;See you this week! #bitcoin #ethereum #bitcoinminer #ESG https://t.co/8iwmPQyVHt;;124;54;728;21;['bitcoin', 'ethereum', 'bitcoinminer', 'ESG'];[];[None];[];https://t.co/UOffYhsC83;TRUE;"(NASDAQ: HUT, TSX: HUT) Crypto Mining, Hosting & HODL| Supporting Decentralized Systems since 2018 |Highest Self-Mined #BTC in World;4724| @BTCMiningCoun |";Hut8Mining;Hut 8 Mining;2017-11-30T17:30:11.000Z;22599;264;943;224;1;1;0;0;1
Jun 09, 2021;1,40272E+18;339061487;@nomadinvest Why won’t the ethereum crowd list the accurate data??;[{'type': 'replied_to', 'id': '1402715833109975041'}];0;1;0;0;[];['nomadinvest'];[];[];https://t.co/4v9mZXQUbX;TRUE;Building Pomp Investments. Have invested $200M+ in early stage companies, including multiple unicorns. Write a daily letter to 195k investors: https://t.co/tpCu2xhIBx;APompliano;Pomp ??;2011-07-20T14:43:36.000Z;1160675;6158;59344;11597;0;0;1;0;0
